DataSet - List Pilates _ Yoga Studio Jabodetabek,,,,
Nama Studio,Wilayah Utama,Area Spesifik,Alamat Lengkap,Nomor Telepon
Yoona Pilates Studio Bekasi,Bekasi,Bekasi Utara,"Ruko Sinpasa, Block A33 Lantai 2",+62 851 8316 8869
Allure Pilates Studio Summarecon,Bekasi,Bekasi Utara,"Ruko Sinpasa blok A No.12, Summarecon Bekasi",+62 819 9400 0768
Yoona Pilates Studio Kemang Pratama,Bekasi,Rawalumbu,"Ruko Kemang Pratama, Jl. Kemang Pratama Raya No.10",+62 813 8899 1658
Jiwa Pilates Studio,Bekasi,Pondok Gede,Jl. Jatibening Estate No.10 Blok H2,+62 812 1999 7999
V3 Yoga Studio Bekasi,Bekasi,Pondok Gede,"AL, Jl. Berhala No.145g block B, Jatibening",+62 812 1953 078
Core Pilates Bekasi,Bekasi,Pondok Gede,Jl. Raya Jatiwaringin No. 21,+62 81210000003
Fit Studio,Bekasi,Galaxy,Ruko Grand Galaxy City,+62 81210000002
Bekasi Yoga,Bekasi,Jatiasih,Jl. Raya Jatiasih No. 100,+62 81210000001
Yoga Artha,Bogor,Ciomas,Jl. Raya Ciomas No. 15,+62 81210000012
Sadhana Yoga,Bogor,Sentul,Ruko Sentul City,+62 81210000011
D'Flow Yoga,Bogor,Tanah Sareal,Jl. Kebon Pedes No. 21,+62 81210000010
Kula Yoga,Bogor,Padjajaran,Jl. Padjajaran No. 45,+62 81210000009
Fit Me studio,Bogor,Bogor Selatan,Jl. Pahlawan No.35a,+62 81210000008
Martasya Yoga Academy,Bogor,Bogor Utara,Jl. Bogor Baru No.5 Blok B6,+62 81210000007
Yoga Studio 321,Bogor,Bogor Barat,Jl. Darul Quran No.321,+62 81210000006
Natura Yoga,Bogor,Bogor Tengah,Jl. Cikabuyutan,+62 81210000005
Nestari Studio,Bogor,Bogor Tengah,"SHU Space, Jl. Merdeka No.78 Lt. 2",+62 81210000004
Zen Studio Depok,Depok,Cinere,Cinere Bellevue Mall,+62 81210000021
Namaste Yoga,Depok,Sawangan,Ruko Sawangan Residence,+62 81210000020
Namaste Yoga Depok,Depok,Cinere,Jl. Cinere Raya No. 8A,+62 81210000019
Bodynest Yoga & Fitness,Depok,Margonda,Jl. Raya Margonda No. 471,+62 81210000018
Harini Studio,Depok,Cimanggis,"Jl. Rtm, Tugu",+62 81210000017
EXO Studio,Depok,Cilodong,"Jl. Komp. Villa Pertiwi No.6, Sukamaju",+62 81210000016
